# BUSCO version is: 5.8.0 
# The lineage dataset is: saccharomycetes_odb10 (Creation date: 2020-08-05, number of genomes: 76, number of BUSCOs: 2137)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at4891	Complete	h2tg000015l_path	363877	351446	-	3761.3	2652	https://www.orthodb.org/v10?query=0at4891	Midasin
6at4891	Complete	h2tg000013l_path	302824	313888	+	4228.0	2814	https://www.orthodb.org/v10?query=6at4891	PIK-related kinase
23at4891	Complete	h2tg000015l_path	63647	54534	-	2401.4	2108	https://www.orthodb.org/v10?query=23at4891	Vacuolar protein sorting-associated protein
42at4891	Complete	h2tg000008l_path	171677	165034	-	3435.1	1772	https://www.orthodb.org/v10?query=42at4891	Carbamoyl-phosphate synthase small subunit, N-terminal domain
50at4891	Complete	h2tg000015l_path	315879	307018	-	1703.5	1686	https://www.orthodb.org/v10?query=50at4891	Protein CSF1
61at4891	Complete	h2tg000004l_path	1370642	1380444	+	2025.3	1810	https://www.orthodb.org/v10?query=61at4891	E3 ubiquitin ligase, domain of unknown function DUF908
85at4891	Complete	h2tg000013l_path	434996	429705	-	2743.6	1477	https://www.orthodb.org/v10?query=85at4891	Pre-mRNA-processing-splicing factor 8
86at4891	Complete	h2tg000011l_path	661047	654411	-	3344.0	1831	https://www.orthodb.org/v10?query=86at4891	Acetyl-CoA carboxylase
93at4891	Complete	h2tg000006l_path	131590	139482	+	2032.7	1497	https://www.orthodb.org/v10?query=93at4891	protein kinase regulator activity
95at4891	Complete	h2tg000004l_path	155640	149208	-	3257.7	1790	https://www.orthodb.org/v10?query=95at4891	Glutamate synthase
115at4891	Complete	h2tg000014l_path	112391	106008	-	1727.2	1421	https://www.orthodb.org/v10?query=115at4891	transcriptional activator leucine zipper
145at4891	Complete	h2tg000002l_path	505671	512771	+	1224.7	1235	https://www.orthodb.org/v10?query=145at4891	Phosphatidylinositol 3-/4-kinase, catalytic domain
154at4891	Complete	h2tg000002l_path	59379	51043	-	349.0	245	https://www.orthodb.org/v10?query=154at4891	Serine/threonine-protein kinase Tel1
170at4891	Complete	h2tg000011l_path	148279	154935	+	2370.3	1577	https://www.orthodb.org/v10?query=170at4891	DNA polymerase epsilon catalytic subunit
216at4891	Complete	h2tg000015l_path	743943	738355	-	1374.0	1009	https://www.orthodb.org/v10?query=216at4891	Phosphatidylinositol 3-/4-kinase, catalytic domain
227at4891	Missing
245at4891	Complete	h2tg000016l_path	959058	964034	+	2417.3	1332	https://www.orthodb.org/v10?query=245at4891	DNA-directed RNA polymerase subunit
274at4891	Complete	h2tg000009l_path	101632	106899	+	2642.3	1476	https://www.orthodb.org/v10?query=274at4891	Fatty acid synthase
300at4891	Complete	h2tg000005l_path	184847	191236	+	1143.4	800	https://www.orthodb.org/v10?query=300at4891	Phosphatidylinositol-4-phosphate 5-kinase, core
331at4891	Fragmented	h2tg000008l_path	216645	213696	-	595.0	639	https://www.orthodb.org/v10?query=331at4891	BP28, C-terminal domain
364at4891	Complete	h2tg000004l_path	704474	709242	+	1333.3	987	https://www.orthodb.org/v10?query=364at4891	Pentafunctional AROM polypeptide
365at4891	Complete	h2tg000004l_path	210569	205395	-	2533.2	1303	https://www.orthodb.org/v10?query=365at4891	DNA-directed RNA polymerase subunit
369at4891	Complete	h2tg000009l_path	505016	501414	-	1262.1	776	https://www.orthodb.org/v10?query=369at4891	Phospholipase
394at4891	Complete	h2tg000003l_path	279996	286158	+	1262.3	1090	https://www.orthodb.org/v10?query=394at4891	CCR4-NOT transcription complex subunit 1, HEAT repeat 1
414at4891	Complete	h2tg000016l_path	542076	537697	-	2254.6	1185	https://www.orthodb.org/v10?query=414at4891	DNA-directed RNA polymerase subunit
419at4891	Complete	h2tg000016l_path	614588	610935	-	2175.6	1049	https://www.orthodb.org/v10?query=419at4891	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
425at4891	Missing
431at4891	Fragmented	h2tg000002l_path	472406	469767	-	1191.9	710	https://www.orthodb.org/v10?query=431at4891	L-aminoadipate-semialdehyde dehydrogenase
443at4891	Complete	h2tg000008l_path	683683	688436	+	980.1	716	https://www.orthodb.org/v10?query=443at4891	Vacuolar membrane-associated protein IML1
455at4891	Missing
468at4891	Complete	h2tg000010l_path	582676	578582	-	1400.9	897	https://www.orthodb.org/v10?query=468at4891	P-type ATPase
469at4891	Fragmented	h2tg000007l_path	95174	90696	-	638.8	790	https://www.orthodb.org/v10?query=469at4891	Rho GTPase activation protein
471at4891	Complete	h2tg000012l_path	482713	476219	-	838.0	956	https://www.orthodb.org/v10?query=471at4891	Ras guanine nucleotide exchange factor domain superfamily
510at4891	Complete	h2tg000004l_path	1141218	1144790	+	1177.6	922	https://www.orthodb.org/v10?query=510at4891	Protein MSN5
514at4891	Complete	h2tg000013l_path	40101	45686	+	1482.8	1327	https://www.orthodb.org/v10?query=514at4891	Proteasome component ECM29
515at4891	Complete	h2tg000012l_path	505255	509649	+	1574.0	910	https://www.orthodb.org/v10?query=515at4891	Chromo domain
519at4891	Complete	h2tg000002l_path	227588	234083	+	1627.4	1481	https://www.orthodb.org/v10?query=519at4891	Armadillo-type fold
528at4891	Complete	h2tg000006l_path	615568	611494	-	1766.2	1031	https://www.orthodb.org/v10?query=528at4891	PurM-like, C-terminal domain
535at4891	Complete	h2tg000002l_path	75268	79735	+	840.2	824	https://www.orthodb.org/v10?query=535at4891	Nucleoporin-domain-containing protein
540at4891	Complete	h2tg000010l_path	66713	62738	-	998.1	1089	https://www.orthodb.org/v10?query=540at4891	Nucleoporin Nup188
569at4891	Missing
578at4891	Complete	h2tg000004l_path	1063397	1067466	+	884.0	946	https://www.orthodb.org/v10?query=578at4891	pre-mRNA 3'-end processing factor CF II
594at4891	Complete	h2tg000016l_path	731380	727943	-	1896.2	963	https://www.orthodb.org/v10?query=594at4891	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
630at4891	Complete	h2tg000004l_path	801584	796212	-	1753.3	1233	https://www.orthodb.org/v10?query=630at4891	Sec7, C-terminal
631at4891	Complete	h2tg000001l_path	99613	95636	-	1687.6	931	https://www.orthodb.org/v10?query=631at4891	P-type ATPase
652at4891	Complete	h2tg000011l_path	310646	315736	+	861.1	891	https://www.orthodb.org/v10?query=652at4891	Anaphase-promoting complex (APC), subunit 1 (meiotic check point regulator/Tsg24)
